OBJECTID,DATE,Allegany,Anne_Arundel,Baltimore,Baltimore_City,Calvert,Caroline,Carroll,Cecil,Charles,Dorchester,Frederick,Garrett,Harford,Howard,Kent,Montgomery,Prince_Georges,Queen_Annes,Somerset,St_Marys,Talbot,Washington,Wicomico,Worcester,Unknown
773,2022/04/26 10:00:00+00,17187,90549,133326,113407,11228,6087,21648,15621,28328,7750,46060,5728,38643,44617,3067,171773,172361,7153,5216,19012,5607,35207,19742,8709,0
774,2022/04/27 10:00:00+00,17191,90627,133390,113498,11248,6089,21660,15627,28338,7750,46084,5729,38670,44661,3068,171987,172451,7155,5215,19021,5612,35222,19748,8711,0
775,2022/04/28 10:00:00+00,17197,90757,133546,113670,11266,6095,21688,15639,28365,7753,46132,5730,38715,44755,3068,172355,172659,7159,5218,19044,5620,35236,19761,8716,0
776,2022/04/29 10:00:00+00,17203,90891,133686,113829,11274,6100,21722,15652,28419,7754,46185,5731,38761,44859,3069,172745,172823,7164,5221,19065,5622,35250,19783,8725,0
777,2022/04/30 10:00:00+00,17209,91016,133826,113990,11283,6105,21737,15664,28457,7756,46229,5732,38804,44921,3071,173068,173020,7168,5223,19080,5627,35262,19794,8733,0
778,2022/05/01 10:00:00+00,17212,91103,133916,114072,11292,6107,21752,15670,28471,7757,46255,5732,38828,44958,3077,173264,173116,7172,5224,19087,5631,35268,19804,8735,0
779,2022/05/02 10:00:00+00,17216,91166,133990,114120,11295,6107,21760,15682,28487,7761,46272,5732,38843,44987,3079,173365,173189,7175,5226,19101,5632,35273,19808,8736,0
780,2022/05/03 10:00:00+00,17222,91233,134121,114214,11301,6108,21772,15690,28519,7764,46308,5732,38875,45057,3080,173704,173326,7178,5227,19114,5635,35276,19815,8737,0
781,2022/05/04 10:00:00+00,17227,91393,134264,114390,11308,6113,21800,15702,28542,7767,46355,5734,38922,45148,3081,174022,173515,7185,5231,19130,5651,35293,19828,8737,0
782,2022/05/05 10:00:00+00,17229,91526,134440,114649,11325,6117,21840,15728,28576,7772,46397,5734,38989,45225,3081,174393,173711,7190,5231,19155,5659,35311,19843,8742,0
783,2022/05/06 10:00:00+00,17235,91730,134682,114957,11342,6122,21879,15736,28620,7778,46473,5735,39044,45362,3083,174844,173936,7200,5233,19179,5665,35333,19857,8751,0
784,2022/05/07 10:00:00+00,17243,91887,134900,115252,11359,6124,21922,15757,28655,7784,46539,5742,39098,45488,3088,175342,174149,7209,5236,19189,5671,35347,19879,8761,0
