OBJECTID,DATE,Allegany,Anne_Arundel,Baltimore,Baltimore_City,Calvert,Caroline,Carroll,Cecil,Charles,Dorchester,Frederick,Garrett,Harford,Howard,Kent,Montgomery,Prince_Georges,Queen_Annes,Somerset,St_Marys,Talbot,Washington,Wicomico,Worcester,Unknown
213,2020/11/01 10:00:00+00,24,269,651,488,28,8,127,35,100,12,131,1,78,123,23,833,839,25,6,60,6,47,51,30,9
214,2020/11/02 10:00:00+00,24,270,652,488,28,8,127,35,100,12,131,1,78,122,23,834,839,25,6,60,6,47,51,30,10
215,2020/11/03 10:00:00+00,24,270,653,490,28,8,127,35,100,12,132,1,78,122,23,835,839,25,6,60,6,47,52,30,12
216,2020/11/04 10:00:00+00,24,271,655,490,28,8,127,35,100,12,132,1,78,123,23,837,840,25,6,61,6,48,52,30,13
217,2020/11/05 10:00:00+00,25,271,658,491,28,8,127,35,100,12,132,1,78,123,24,841,841,25,6,61,6,47,52,30,13
218,2020/11/06 10:00:00+00,26,271,658,493,28,8,127,35,100,12,132,1,78,123,24,845,845,25,6,60,6,47,52,30,14
219,2020/11/07 10:00:00+00,26,271,660,497,28,8,127,35,100,12,132,1,79,122,24,847,845,25,7,60,6,47,52,30,11
220,2020/11/08 10:00:00+00,26,271,660,497,28,9,127,35,100,13,132,1,80,123,24,848,846,25,7,60,6,47,52,30,16
221,2020/11/09 10:00:00+00,26,271,662,499,28,9,127,35,100,13,132,1,80,123,24,851,847,25,7,60,6,47,52,30,17
222,2020/11/10 10:00:00+00,28,271,664,499,28,9,127,35,100,13,132,1,80,123,24,855,849,25,7,60,6,47,52,30,19
223,2020/11/11 10:00:00+00,29,272,664,500,28,9,127,36,100,13,132,1,80,124,24,858,852,25,7,60,6,49,54,30,20
224,2020/11/12 10:00:00+00,29,274,666,501,28,9,127,36,102,13,132,1,81,125,24,860,854,25,8,60,7,49,54,30,17
225,2020/11/13 10:00:00+00,29,275,667,503,29,9,127,36,102,13,132,1,81,125,24,862,856,26,8,60,7,49,54,30,19
226,2020/11/14 10:00:00+00,31,276,668,504,29,9,128,36,102,13,132,1,81,125,24,864,859,26,8,60,7,51,54,31,25
227,2020/11/15 10:00:00+00,32,276,668,508,29,9,128,36,102,14,133,1,82,126,24,868,865,26,8,60,7,52,55,31,13
